_id,name,slug,modelName,modelSlug,brandSlug,status,fuel-type,power-hp,torque-nm,clutch-type,emission-norm,engine-capacity-cc,engine-type,gearbox,transmission-type,number-of-cylinders,rpm,no-of-reverse-gears,cooling-type,motor-type,no-of-cng-cylinders,engine-model,max-speed-km-h,gradeability,mileage,driving-range-km-charge,real-world-range-km-charge,battery-type,battery-warranty,cabin-type,turning-radius-mm,chassis-type,front-suspension,rear-suspension,tiltable-cabin,gross-vehicle-weight-kg,length-mm,height-mm,wheelbase-mm,ground-clearance-mm,fuel-tank-capacity-ltr,kerb-weight-kg,payload-kg,width-mm,battery-capacity-kwh,cargo-body-length-mm,cargo-body-width-mm,cargo-body-height-mm,front-tyre-size,number-of-tyres,rear-tyre-size,front-brake-type,rear-brake-type,tyre-type,front-rim-size,rear-rim-size,charger-type,ac-charging-time,dc-fast-charging-time,battery-swapping,adjustable-driver-seat,cruise-control,cruise-control-desc,seat-type,arm-rest,driver-information-display,driver-information-display-desc,tiltable-steering,navigation-system,navigation-system-desc,seating-capacity,air-conditioner,fog-lamps,no-of-fog-lamps,mobile-charging-point,infotainment-system,infotainment-system-desc,headlamps,drive-modes,no-of-seat-belts,gps-tracking,fuel-monitoring-system,digital-instrument-cluster,size-of-the-digital-instrument-cluster,driver-seat-belt-reminder,telematics,telematics-desc,hill-hold-assist,hill-hold-assist-desc,abs,adas,adas-desc,dashcam,tyre-pressure-monitoring-system,speed-limit-device,reverse-parking-alert,blind-spot-mirror,electronics-stability-control,no-of-airbags,lane-departure-warning,autonomous-emergency-braking,collision-mitigation-system,driver-monitoring-camera,camera-360-degree
6757da41c36324fd2950d075,Plus Diesel,plus-diesel,Jeeto,jeeto,mahindra,,Diesel,16,38,Single Plate Dry Clutch,BS VI,670,Single cylinder DI Water Cooled,4-Speed,Manual (MT),1,,,,,,,,,,,,,,Day Cabin,,C-Chassis,IFS,Semi-trailing arm,,1345,3281,1750,2500,,10.5,,715,1498,,,,,145 R12,4,145 R12LT 8PR,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6757da47c36324fd2950d076,LX,lx,Supro Profit Truck Maxi,supro-profittruck-maxi,mahindra,onsale,Diesel,47,,,,909,,,Manual (MT),,,,,,,,,,,,,,,,,,,,,2185,,,2050,,33,,1050,,,,,,155/80 R14,4,155/80 R14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6757da4bc36324fd2950d077,VX,vx,Supro Profit Truck Maxi,supro-profittruck-maxi,mahindra,onsale,Diesel,47,,,,909,,,Manual (MT),,,,,,,,,,,,,,,,,,,,,2185,,,2050,,33,,1050,,,,,,155/80 R14,4,155/80 R14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6757da50c36324fd2950d078,ZX,zx,Supro Profit Truck Maxi,supro-profittruck-maxi,mahindra,onsale,Diesel,47,,,,909,,,Manual (MT),,,,,,,,,,,,,,,,,,,,,2185,,,2050,,33,,1050,,,,,,155/80 R14,4,155/80 R14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6757da56c36324fd2950d079,LX,lx,Supro Profit Truck Mini,supro-profittruck-mini,mahindra,onsale,Diesel,26,,,,909,,,Manual (MT),,,,,,,,,,,,,,,,,,,,,1802,,,1950,,30,,800,,,,,,145 R12,4,145 R12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6757da5bc36324fd2950d07a,VX,vx,Supro Profit Truck Mini,supro-profittruck-mini,mahindra,onsale,Diesel,26,,,,909,,,Manual (MT),,,,,,,,,,,,,,,,,,,,,1975,,,1950,,30,,900,,,,,,155 R13,4,155 R13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6757da5fc36324fd2950d07b,CNG,cng,Supro Profit Truck Mini,supro-profittruck-mini,mahindra,onsale,CNG,27,,,,909,,,Manual (MT),,,,,,,,,,,,,,,,,,,,,1850,,,1950,,45,,750,,,,,,145 R12,4,145 R12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6757da65c36324fd2950d07c,CLB 3800,clb,"{'name': 'Tata 1009g LPT', 'id': 170, 'brandName': 'Tata', 'brandSlug': 'tata', 'modelName': '1009g LPT', 'slug': '1009g-lpt'}",1009g-lpt,tata,onsale,CNG,83,285,Single plate dry friction type - 280 mm dia,BS VI,3783,3.8L SGI NA,5-Speed,Manual (MT),4,,,,,,,80,23,,,,,,Day Cabin,6750,C-Chassis,Semi elliptical leaf spring with hydraulic double acting telescopic shock absorbers,Semi-elliptical Leaf spring,,9600,,,3800,217,430,,,,,,,,8.25-16,6,8.25X16 - 16PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6757da6bc36324fd2950d07d,FSD 4920,fsd,1009g LPT,1009g-lpt,tata,onsale,CNG,83,285,Single plate dry friction type - 280 mm dia,BS VI,3783,3.8L SGI NA,5-Speed,Manual (MT),4,,,,,,,80,23,,,,,,Day Cabin,6750,C-Chassis,Semi elliptical leaf spring with hydraulic double acting telescopic shock absorbers,Semi-elliptical Leaf spring,,9600,,,4920,217,430,,,,,,,,8.25-16,6,8.25X16 - 16PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6757da70c36324fd2950d07e,Reefers 3800,reefers,1009g LPT,1009g-lpt,tata,onsale,CNG,83,285,Single plate dry friction type - 280 mm dia,BS VI,3783,3.8L SGI NA,5-Speed,Manual (MT),4,,,,,,,80,23,,,,,,Day Cabin,6750,C-Chassis,Semi elliptical leaf spring with hydraulic double acting telescopic shock absorbers,Semi-elliptical Leaf spring,,9600,,,3800,217,430,,,,,,,,8.25-16,6,8.25X16 - 16PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6757da74c36324fd2950d07f,HSD 3800,hsd-3800,1009g LPT,1009g-lpt,tata,onsale,CNG,83,285,Single plate dry friction type - 280 mm dia,BS VI,3783,3.8L SGI NA,5-Speed,Manual (MT),4,,,,,,,80,23,,,,,,Day Cabin,6750,C-Chassis,Semi elliptical leaf spring with hydraulic double acting telescopic shock absorbers,Semi-elliptical Leaf spring,,9600,,,3800,217,430,,,,,,,,8.25-16,6,8.25X16 - 16PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6757da79c36324fd2950d080,HSD 4920,hsd,1009g LPT,1009g-lpt,tata,onsale,CNG,83,285,Single plate dry friction type - 280 mm dia,BS VI,3783,3.8L SGI NA,5-Speed,Manual (MT),4,,,,,,,80,23,,,,,,Day Cabin,6750,C-Chassis,Semi elliptical leaf spring with hydraulic double acting telescopic shock absorbers,Semi-elliptical Leaf spring,,9600,,,3800,217,430,,,,,,,,8.25-16,6,8.25X16 - 16PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6757da7ec36324fd2950d081,CAB 3800,cab,1009g LPT,1009g-lpt,tata,onsale,CNG,83,285,Single plate dry friction type - 280 mm dia,BS VI,3783,3.8L SGI NA,5-Speed,Manual (MT),4,,,,,,,80,23,,,,,,Day Cabin,6750,C-Chassis,Semi elliptical leaf spring with hydraulic double acting telescopic shock absorbers,Semi-elliptical Leaf spring,,9600,,,4920,217,430,,,,,,,,8.25-16,6,8.25X16 - 16PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6757da83c36324fd2950d082,CAB 4920,cab-4920,1009g LPT,1009g-lpt,tata,onsale,CNG,83,285,Single plate dry friction type - 280 mm dia,BS VI,3783,3.8L SGI NA,5-Speed,Manual (MT),4,,,,,,,80,23,,,,,,Day Cabin,6750,C-Chassis,Semi elliptical leaf spring with hydraulic double acting telescopic shock absorbers,Semi-elliptical Leaf spring,,9600,,,4920,217,430,,,,,,,,8.25-16,6,8.25X16 - 16PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6757da88c36324fd2950d083,Container 3800,container,1009g LPT,1009g-lpt,tata,onsale,CNG,83,285,Single plate dry friction type - 280 mm dia,BS VI,3783,3.8L SGI NA,5-Speed,Manual (MT),4,,,,,,,80,23,,,,,,Day Cabin,6750,C-Chassis,Semi elliptical leaf spring with hydraulic double acting telescopic shock absorbers,Semi-elliptical Leaf spring,,9600,,,4920,217,430,,,,,,,,8.25-16,6,8.25X16 - 16PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6757da8fc36324fd2950d084,Container 4920,container-4920,1009g LPT,1009g-lpt,tata,,CNG,83,285,Single plate dry friction type - 280 mm dia,BS VI,3783,3.8L SGI NA,5-Speed,Manual (MT),4,,,,,,,80,23,,,,,,Day Cabin,6750,C-Chassis,Semi elliptical leaf spring with hydraulic double acting telescopic shock absorbers,Semi-elliptical Leaf spring,,9600,,,4920,217,430,,,,,,,,8.25-16,6,8.25X16 - 16PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6757da94c36324fd2950d085,Container 3400,container,1012 LPT,1012-lpt,tata,,Diesel,123,390,Single plate dry friction type - 310 mm dia,BS VI,3300,3.3L NG In line water cooled direct Injection diesel engine with intercooler,5-Speed,Manual (MT),4,,,,,,,80,27,,,,,,Day Cabin,6250,C-Chassis,Semi-elliptical leaf spring with hydraulic double acting telescopic shock absorbers,Semi Elliptical Leaf Springs,,9600,,,3400,203,120,,,,,,,,8.25-16,6,8.25 X 16 - 16PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6757da99c36324fd2950d086,HSD 3800,hsd-3800,1012 LPT,1012-lpt,tata,,Diesel,123,390,Single plate dry friction type - 310 mm dia,BS VI,3300,3.3L NG In line water cooled direct Injection diesel engine with intercooler,5-Speed,Manual (MT),4,,,,,,,80,27,,,,,,Day Cabin,8750,C-Chassis,Semi-elliptical leaf spring with hydraulic double acting telescopic shock absorbers,Semi Elliptical Leaf Springs,,9600,,,3800,203,120,,,,,,,,8.25-16,6,8.25 X 16 - 16PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6757da9ec36324fd2950d087,FSD 3800,fsd,1012 LPT,1012-lpt,tata,,Diesel,123,390,Single plate dry friction type - 310 mm dia,BS VI,3300,3.3L NG In line water cooled direct Injection diesel engine with intercooler,5-Speed,Manual (MT),4,,,,,,,80,27,,,,,,Day Cabin,6900,C-Chassis,Semi-elliptical leaf spring with hydraulic double acting telescopic shock absorbers,Semi Elliptical Leaf Springs,,9600,,,3800,203,120,,,,,,,,8.25-16,6,8.25 X 16 - 16PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6757daa3c36324fd2950d088,CAB 3400,cab,1012 LPT,1012-lpt,tata,,Diesel,123,390,Single plate dry friction type - 310 mm dia,BS VI,3300,3.3L NG In line water cooled direct Injection diesel engine with intercooler,5-Speed,Manual (MT),4,,,,,,,80,27,,,,,,Day Cabin,6250,C-Chassis,Semi-elliptical leaf spring with hydraulic double acting telescopic shock absorbers,Semi Elliptical Leaf Springs,,9600,,,3400,203,120,,,,,,,,8.25-16,6,8.25 X 16 - 16PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6757daa9c36324fd2950d089,HSD 3400,hsd,1012 LPT,1012-lpt,tata,,Diesel,123,390,Single plate dry friction type - 310 mm dia,BS VI,3300,3.3L NG In line water cooled direct Injection diesel engine with intercooler,5-Speed,Manual (MT),4,,,,,,,80,27,,,,,,Day Cabin,6250,C-Chassis,Semi-elliptical leaf spring with hydraulic double acting telescopic shock absorbers,Semi Elliptical Leaf Springs,,9600,,,3400,203,120,,,,,,,,8.25-16,6,8.25 X 16 - 16PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
